country_code,Country,Region,CPI score 2016,CPI score 2015,CPI score 2014,CPI Score 2013,CPI Score 2012
DNK,Denmark,WE/EU,90,91,92,91,90
NZL,New Zealand,AP,90,91,91,91,90
FIN,Finland,WE/EU,89,90,89,89,90
SGP,Singapore,AP,84,85,84,86,87
SWE,Sweden,WE/EU,88,89,87,89,88
CHE,Switzerland,WE/EU,86,86,86,85,86
NOR,Norway,WE/EU,85,88,86,86,85
NLD,Netherlands,WE/EU,83,84,83,83,84
CAN,Canada,AME,82,83,81,81,84
LUX,Luxembourg,WE/EU,81,85,82,80,80
DEU,Germany,WE/EU,81,81,79,78,79
GBR,United Kingdom,WE/EU,81,81,78,76,74
AUS,Australia,AP,79,79,80,81,85
AUT,Austria,WE/EU,75,76,72,69,69
HKG,Hong Kong,AP,77,75,74,75,77
ISL,Iceland,WE/EU,78,79,79,78,82
BEL,Belgium,WE/EU,77,77,76,75,75
EST,Estonia,WE/EU,70,70,69,68,64
IRL,Ireland,WE/EU,73,75,74,72,69
JPN,Japan,AP,72,75,76,74,74
FRA,France,WE/EU,69,70,69,71,71
USA,United States of America,AME,74,76,74,73,73
ARE,United Arab Emirates,MENA,66,70,70,69,68
URY,Uruguay,AME,71,74,73,73,72
BRB,Barbados,AME,61,,74,75,76
BTN,Bhutan,AP,65,65,65,63,63
CHL,Chile,AME,66,70,73,71,72
SYC,Seychelles,SSA,,55,55,54,52
BHS,Bahamas,AME,66,,71,71,71
PRT,Portugal,WE/EU,62,64,63,62,63
BRN,Brunei Darussalam,AP,58,,,60,55
TWN,Taiwan,AP,61,62,61,61,61
QAT,Qatar,MENA,61,71,69,68,68
BWA,Botswana,SSA,60,63,63,64,65
ISR,Israel,MENA,64,61,60,61,60
POL,Poland,WE/EU,62,63,61,60,58
SVN,Slovenia,WE/EU,61,60,58,57,61
CYP,Cyprus,WE/EU,55,61,63,63,66
CZE,Czech Republic,WE/EU,55,56,51,48,49
LTU,Lithuania,WE/EU,59,59,58,57,54
